Time,Voltage(V),Current(A),Power(W),Energy(J),Batt(%)
0.17,12.0,0.67,8.01,0.06,100.0
0.18,12.0,0.67,8.01,0.13,100.0
0.19,12.0,0.67,8.01,0.19,100.0
0.20,12.0,0.67,8.01,0.26,100.0
0.21,12.0,0.67,8.01,0.32,100.0
0.22,12.0,0.67,8.01,0.38,100.0
0.22,12.0,0.67,8.01,0.45,100.0
0.23,12.0,0.67,8.01,0.51,100.0
0.24,12.0,0.67,8.01,0.58,100.0
0.25,12.0,0.67,8.01,0.64,100.0
0.27,12.0,0.67,8.01,0.70,100.0
0.28,12.0,0.67,8.01,0.77,100.0
0.28,12.0,2.00,24.02,0.96,100.0
0.31,12.0,2.28,27.36,1.18,100.0
0.32,12.0,2.60,31.21,1.43,100.0
0.32,12.0,2.91,34.96,1.71,100.0
0.33,12.0,3.19,38.33,2.02,100.0
0.34,12.0,3.45,41.37,2.35,100.0
0.34,12.0,3.67,44.10,2.70,100.0
0.35,12.0,3.88,46.56,3.07,100.0
0.35,12.0,4.06,48.77,3.46,100.0
0.36,12.0,4.23,50.76,3.87,100.0
0.37,12.0,4.38,52.56,4.29,100.0
0.37,12.0,4.51,54.17,4.72,100.0
0.38,12.0,4.64,55.62,5.17,100.0
0.38,12.0,4.74,56.93,5.62,100.0
0.39,12.0,4.84,58.11,6.09,100.0
0.39,12.0,4.93,59.16,6.56,100.0
0.40,12.0,5.01,60.12,7.04,100.0
0.40,12.0,5.08,60.97,7.53,100.0
0.42,12.0,5.15,61.75,8.02,100.0
0.42,12.0,5.20,62.40,8.52,100.0
0.43,12.0,5.25,63.00,9.03,100.0
0.43,12.0,5.29,63.53,9.53,100.0
0.44,12.0,5.33,64.01,10.05,100.0
0.45,12.0,5.37,64.44,10.56,100.0
0.45,12.0,5.40,64.83,11.08,100.0
0.46,12.0,5.43,65.18,11.60,100.0
0.47,12.0,5.46,65.50,12.13,100.0
0.48,12.0,5.48,65.78,12.65,100.0
0.49,12.0,5.50,66.03,13.18,100.0
0.49,12.0,5.52,66.26,13.71,100.0
0.50,12.0,5.54,66.47,14.24,100.0
0.51,12.0,5.55,66.66,14.78,100.0
0.52,12.0,5.57,66.82,15.31,100.0
0.53,12.0,5.58,66.97,15.85,100.0
0.54,12.0,5.59,67.11,16.38,100.0
0.55,12.0,5.60,67.23,16.92,100.0
0.56,12.0,5.61,67.34,17.46,100.0
0.57,12.0,5.62,67.44,18.00,100.0
0.58,12.0,5.63,67.53,18.54,100.0
0.59,12.0,5.63,67.61,19.08,100.0
0.60,12.0,5.64,67.68,19.62,100.0
0.61,12.0,5.65,67.75,20.16,100.0
0.62,12.0,5.65,67.80,20.71,100.0
0.63,12.0,5.65,67.86,21.25,100.0
0.64,12.0,5.66,67.90,21.79,100.0
0.65,12.0,5.66,67.95,22.34,100.0
0.66,12.0,5.67,67.98,22.88,100.0
0.66,12.0,5.67,68.02,23.42,100.0
0.67,12.0,5.67,68.05,23.97,100.0
0.68,12.0,5.67,68.08,24.51,100.0
0.69,12.0,5.68,68.10,25.06,100.0
0.70,12.0,5.68,68.13,25.60,100.0
0.70,12.0,5.68,68.15,26.15,100.0
0.71,12.0,5.68,68.16,26.69,100.0
0.72,12.0,5.68,68.18,27.24,100.0
0.72,12.0,5.68,68.20,27.78,100.0
0.73,12.0,5.68,68.21,28.33,100.0
0.74,12.0,5.69,68.22,28.88,100.0
0.74,12.0,5.69,68.23,29.42,100.0
0.75,12.0,5.69,68.24,29.97,100.0
0.76,12.0,5.69,68.25,30.51,100.0
0.77,12.0,5.69,68.26,31.06,100.0
0.78,12.0,5.69,68.27,31.61,100.0
0.78,12.0,5.69,68.27,32.15,100.0
0.79,12.0,5.69,68.28,32.70,100.0
0.80,12.0,5.69,68.28,33.24,100.0
0.81,12.0,5.69,68.29,33.79,100.0
0.82,12.0,5.69,68.29,34.34,100.0
0.83,12.0,5.69,68.30,34.88,100.0
0.84,12.0,5.69,68.30,35.43,100.0
0.85,12.0,5.69,68.30,35.98,100.0
0.86,12.0,5.69,68.30,36.52,100.0
0.87,12.0,5.69,68.31,37.07,100.0
0.88,12.0,5.69,68.31,37.62,100.0
0.89,12.0,5.69,68.31,38.16,100.0
0.90,12.0,5.69,68.31,38.71,100.0
0.91,12.0,5.69,68.31,39.26,100.0
0.92,12.0,5.69,68.32,39.80,100.0
0.93,12.0,5.69,68.32,40.35,100.0
0.94,12.0,5.69,68.32,40.89,100.0
0.95,12.0,5.69,68.32,41.44,100.0
0.95,12.0,5.69,68.32,41.99,100.0
0.96,12.0,5.69,68.28,42.53,100.0
0.97,12.0,5.69,68.25,43.08,100.0
0.98,12.0,5.68,68.19,43.63,100.0
0.98,12.0,5.68,68.13,44.17,100.0
0.99,12.0,5.67,68.08,44.72,100.0
1.00,12.0,5.67,68.03,45.26,100.0
1.00,12.0,5.67,67.99,45.80,100.0
1.01,12.0,5.66,67.95,46.35,100.0
1.02,12.0,5.66,67.91,46.89,100.0
1.02,12.0,5.66,67.88,47.43,100.0
1.03,12.0,5.65,67.82,47.98,100.0
1.04,12.0,5.65,67.76,48.52,100.0
1.05,12.0,5.64,67.71,49.06,100.0
1.06,12.0,5.64,67.66,49.60,100.0
1.07,12.0,5.63,67.62,50.14,100.0
1.08,12.0,5.63,67.58,50.68,100.0
1.08,12.0,5.63,67.55,51.22,100.0
1.09,12.0,5.63,67.52,51.76,100.0
1.10,12.0,5.62,67.49,52.30,100.0
1.11,12.0,5.62,67.46,52.84,100.0
1.12,12.0,5.62,67.44,53.38,100.0
1.13,12.0,5.62,67.42,53.92,100.0
1.14,12.0,5.61,67.37,54.46,100.0
1.16,12.0,5.61,67.32,55.00,100.0
1.16,12.0,5.60,67.24,55.54,100.0
1.17,12.0,5.59,67.13,56.07,100.0
1.18,12.0,5.58,66.99,56.61,100.0
1.19,12.0,5.57,66.87,57.15,100.0
1.20,12.0,5.56,66.73,57.68,100.0
1.21,12.0,5.54,66.53,58.21,100.0
1.22,12.0,5.53,66.34,58.74,100.0
1.23,12.0,5.51,66.14,59.27,100.0
1.23,12.0,5.49,65.93,59.80,100.0
1.24,12.0,5.48,65.73,60.32,100.0
1.25,12.0,5.46,65.55,60.85,100.0
1.26,12.0,5.45,65.40,61.37,100.0
1.26,12.0,5.44,65.25,61.89,100.0
1.27,12.0,5.43,65.13,62.41,100.0
1.28,12.0,5.42,65.01,62.94,100.0
1.28,12.0,5.41,64.87,63.45,100.0
1.29,12.0,5.40,64.74,63.97,100.0
1.30,12.0,5.38,64.59,64.49,100.0
1.31,12.0,5.37,64.39,65.00,100.0
1.31,12.0,5.32,63.87,65.51,100.0
1.32,12.0,5.23,62.76,66.02,100.0
1.33,12.0,5.11,61.28,66.51,100.0
1.34,12.0,4.98,59.70,66.98,100.0
1.35,12.0,4.84,58.10,67.45,100.0
1.36,12.0,4.72,56.61,67.90,100.0
1.36,12.0,4.61,55.28,68.34,100.0
1.37,12.0,4.51,54.08,68.78,100.0
1.38,12.0,4.42,53.00,69.20,100.0
1.39,12.0,4.33,51.96,69.62,100.0
1.40,12.0,4.22,50.69,70.02,100.0
1.41,12.0,4.10,49.19,70.42,100.0
1.42,12.0,3.92,47.04,70.79,100.0
1.43,12.0,0.67,8.01,70.86,100.0
1.44,12.0,0.67,8.01,70.92,100.0
1.45,12.0,0.67,8.01,70.98,100.0
1.46,12.0,0.67,8.01,71.05,100.0
1.47,12.0,0.67,8.01,71.11,100.0
1.48,12.0,0.67,8.01,71.18,100.0
1.49,12.0,0.67,8.01,71.24,100.0
1.50,12.0,0.67,8.01,71.30,100.0
1.50,12.0,0.67,8.01,71.37,100.0
1.51,12.0,0.67,8.01,71.43,100.0
1.52,12.0,0.67,8.01,71.50,100.0
1.53,12.0,0.67,8.01,71.56,100.0
1.54,12.0,0.67,8.01,71.63,100.0
1.54,12.0,0.67,8.01,71.69,100.0
1.55,12.0,0.67,8.01,71.75,100.0
1.56,12.0,0.67,8.01,71.82,100.0
1.56,12.0,0.67,8.01,71.88,100.0
1.57,12.0,0.67,8.01,71.95,100.0
1.58,12.0,0.67,8.01,72.01,100.0
1.58,12.0,0.67,8.01,72.07,100.0
1.59,12.0,1.35,16.15,72.20,100.0
1.60,12.0,1.47,17.69,72.34,100.0
1.61,12.0,2.29,27.49,72.56,100.0
1.62,12.0,2.53,30.38,72.81,100.0
1.63,12.0,2.12,25.39,73.01,100.0
1.64,12.0,2.31,27.75,73.23,100.0
1.65,12.0,2.49,29.87,73.47,100.0
1.66,12.0,2.65,31.80,73.73,100.0
1.66,12.0,2.79,33.53,73.99,100.0
1.67,12.0,2.92,35.08,74.27,100.0
1.69,12.0,3.04,36.48,74.57,100.0
1.70,12.0,3.14,37.73,74.87,100.0
1.71,12.0,3.24,38.87,75.18,100.0
1.72,12.0,3.33,39.90,75.50,100.0
1.73,12.0,3.40,40.83,75.83,100.0
1.74,12.0,3.47,41.66,76.16,100.0
1.74,12.0,3.53,42.41,76.50,100.0
1.75,12.0,3.59,43.08,76.84,100.0
1.76,12.0,3.64,43.69,77.19,100.0
1.77,12.0,3.68,44.22,77.55,100.0
1.78,12.0,3.73,44.71,77.90,100.0
1.79,12.0,3.76,45.14,78.26,100.0
1.79,12.0,4.43,53.16,78.69,100.0
1.80,12.0,4.47,53.70,79.12,100.0
1.81,12.0,4.51,54.18,79.55,100.0
1.81,12.0,4.55,54.65,79.99,100.0
1.82,12.0,4.59,55.07,80.43,100.0
1.83,12.0,4.62,55.46,80.87,100.0
1.83,12.0,4.65,55.84,81.32,100.0
1.84,12.0,4.68,56.18,81.77,100.0
1.85,12.0,4.71,56.49,82.22,100.0
1.86,12.0,4.73,56.80,82.68,100.0
1.87,12.0,4.76,57.08,83.13,100.0
1.87,12.0,4.78,57.37,83.59,100.0
1.88,12.0,4.80,57.63,84.05,100.0
1.89,12.0,4.83,57.90,84.52,100.0
1.90,12.0,4.85,58.15,84.98,100.0
1.91,12.0,4.86,58.37,85.45,100.0
1.92,12.0,4.88,58.60,85.92,100.0
1.93,12.0,4.90,58.81,86.39,100.0
1.94,12.0,4.92,59.04,86.86,100.0
1.95,12.0,4.94,59.28,87.33,100.0
1.96,12.0,4.96,59.56,87.81,100.0
1.97,12.0,4.99,59.82,88.29,100.0
1.98,12.0,5.01,60.09,88.77,100.0
1.99,12.0,5.03,60.34,89.25,100.0
2.00,12.0,5.05,60.59,89.74,100.0
2.01,12.0,5.07,60.86,90.22,100.0
2.02,12.0,5.09,61.13,90.71,100.0
2.03,12.0,5.12,61.49,91.21,100.0
2.04,12.0,5.15,61.81,91.70,100.0
2.05,12.0,5.18,62.17,92.20,100.0
2.05,12.0,5.21,62.53,92.70,100.0
2.06,12.0,5.24,62.86,93.20,100.0
2.07,12.0,5.27,63.19,93.71,100.0
2.08,12.0,5.29,63.52,94.21,100.0
2.08,12.0,5.32,63.82,94.72,100.0
2.09,12.0,5.34,64.13,95.24,100.0
2.10,12.0,5.37,64.40,95.75,100.0
2.10,12.0,5.39,64.68,96.27,100.0
2.11,12.0,5.41,64.94,96.79,100.0
2.12,12.0,5.43,65.17,97.31,100.0
2.12,12.0,5.45,65.41,97.83,100.0
2.13,12.0,5.47,65.63,98.36,100.0
2.14,12.0,5.49,65.83,98.89,100.0
2.15,12.0,5.50,66.01,99.41,100.0
2.16,12.0,5.52,66.20,99.94,100.0
2.17,12.0,5.53,66.38,100.47,100.0
2.17,12.0,5.55,66.57,101.01,100.0
2.18,12.0,5.56,66.75,101.54,100.0
2.19,12.0,5.58,66.94,102.08,100.0
2.20,12.0,5.59,67.12,102.61,100.0
2.21,12.0,5.61,67.28,103.15,100.0
2.22,12.0,5.62,67.42,103.69,100.0
2.23,12.0,5.63,67.54,104.23,100.0
2.25,12.0,5.64,67.66,104.77,100.0
2.25,12.0,5.65,67.76,105.32,100.0
2.26,12.0,5.65,67.86,105.86,100.0
2.27,12.0,5.66,67.94,106.40,100.0
2.28,12.0,5.67,68.01,106.95,100.0
2.29,12.0,5.67,68.08,107.49,100.0
2.30,12.0,5.68,68.14,108.04,99.9
2.31,12.0,5.68,68.20,108.58,99.9
2.32,12.0,5.69,68.25,109.13,99.9
2.33,12.0,5.69,68.29,109.67,99.9
2.33,12.0,5.69,68.33,110.22,99.9
2.34,12.0,5.70,68.37,110.77,99.9
2.35,12.0,5.70,68.40,111.31,99.9
2.36,12.0,5.70,68.43,111.86,99.9
2.36,12.0,5.70,68.46,112.41,99.9
2.37,12.0,5.71,68.48,112.96,99.9
2.38,12.0,5.71,68.50,113.51,99.9
2.38,12.0,5.71,68.52,114.05,99.9
2.39,12.0,5.71,68.54,114.60,99.9
2.40,12.0,5.71,68.55,115.15,99.9
2.41,12.0,5.71,68.57,115.70,99.9
2.41,12.0,5.71,68.58,116.25,99.9
2.42,12.0,5.72,68.59,116.80,99.9
2.43,12.0,5.72,68.60,117.34,99.9
2.44,12.0,5.72,68.61,117.89,99.9
2.45,12.0,5.72,68.62,118.44,99.9
2.46,12.0,5.72,68.63,118.99,99.9
2.47,12.0,5.72,68.63,119.54,99.9
2.48,12.0,5.72,68.64,120.09,99.9
2.49,12.0,5.72,68.64,120.64,99.9
2.50,12.0,5.72,68.65,121.19,99.9
2.51,12.0,5.72,68.65,121.74,99.9
2.52,12.0,5.72,68.66,122.29,99.9
2.53,12.0,5.72,68.66,122.84,99.9
2.54,12.0,5.72,68.66,123.39,99.9
2.55,12.0,5.72,68.67,123.93,99.9
2.55,12.0,5.72,68.67,124.48,99.9
2.56,12.0,5.72,68.67,125.03,99.9
2.57,12.0,5.72,68.64,125.58,99.9
2.58,12.0,5.72,68.61,126.13,99.9
2.59,12.0,5.71,68.58,126.68,99.9
2.59,12.0,5.71,68.52,127.23,99.9
2.60,12.0,5.71,68.46,127.78,99.9
2.61,12.0,5.70,68.41,128.32,99.9
2.62,12.0,5.70,68.37,128.87,99.9
2.62,12.0,5.69,68.29,129.42,99.9
2.63,12.0,5.68,68.19,129.96,99.9
2.64,12.0,5.67,68.09,130.51,99.9
2.64,12.0,5.66,67.97,131.05,99.9
2.65,12.0,5.65,67.79,131.59,99.9
2.66,12.0,5.63,67.59,132.13,99.9
2.67,12.0,5.62,67.41,132.67,99.9
2.67,12.0,5.60,67.17,133.21,99.9
2.68,12.0,5.58,66.96,133.75,99.9
2.69,12.0,5.56,66.74,134.28,99.9
2.70,12.0,5.54,66.53,134.81,99.9
2.71,12.0,5.53,66.31,135.34,99.9
2.72,12.0,5.51,66.11,135.87,99.9
2.73,12.0,5.49,65.94,136.40,99.9
2.74,12.0,5.48,65.78,136.92,99.9
2.75,12.0,5.47,65.63,137.45,99.9
2.76,12.0,5.46,65.50,137.97,99.9
2.77,12.0,5.45,65.39,138.50,99.9
2.78,12.0,5.44,65.28,139.02,99.9
2.79,12.0,5.43,65.19,139.54,99.9
2.80,12.0,5.43,65.10,140.06,99.9
2.81,12.0,5.42,65.03,140.58,99.9
2.82,12.0,5.41,64.96,141.10,99.9
2.83,12.0,5.41,64.89,141.62,99.9
2.84,12.0,5.40,64.80,142.14,99.9
2.84,12.0,5.39,64.68,142.66,99.9
2.85,12.0,5.37,64.47,143.17,99.9
2.86,12.0,5.32,63.87,143.68,99.9
2.87,12.0,5.20,62.43,144.18,99.9
2.87,12.0,4.94,59.25,144.66,99.9
2.88,12.0,0.67,8.01,144.72,99.9
2.89,12.0,0.67,8.01,144.78,99.9
2.89,12.0,0.67,8.01,144.85,99.9
2.90,12.0,0.67,8.01,144.91,99.9
2.90,12.0,0.67,8.01,144.98,99.9
2.91,12.0,0.67,8.01,145.04,99.9
2.92,12.0,0.67,8.01,145.11,99.9
2.93,12.0,0.67,8.01,145.17,99.9
2.94,12.0,0.67,8.01,145.23,99.9
2.95,12.0,0.67,8.01,145.30,99.9
2.95,12.0,0.67,8.01,145.36,99.9
2.96,12.0,0.67,8.01,145.43,99.9
2.97,12.0,0.67,8.01,145.49,99.9
2.98,12.0,0.67,8.01,145.55,99.9
2.99,12.0,0.67,8.01,145.62,99.9
3.00,12.0,0.67,8.01,145.68,99.9
3.01,12.0,0.67,8.01,145.75,99.9
3.02,12.0,0.67,8.01,145.81,99.9
3.03,12.0,0.67,8.01,145.87,99.9
3.04,12.0,0.67,8.01,145.94,99.9
3.05,12.0,0.67,8.01,146.00,99.9
3.06,12.0,0.67,8.01,146.07,99.9
3.07,12.0,0.67,8.01,146.13,99.9
3.08,12.0,0.67,8.01,146.19,99.9
3.09,12.0,2.09,25.13,146.40,99.9
3.10,12.0,2.30,27.58,146.62,99.9
3.11,12.0,2.48,29.79,146.85,99.9
3.12,12.0,2.65,31.77,147.11,99.9
3.12,12.0,2.80,33.56,147.38,99.9
3.13,12.0,2.93,35.17,147.66,99.9
3.14,12.0,3.05,36.62,147.95,99.9
3.15,12.0,3.16,37.92,148.25,99.9
3.15,12.0,3.26,39.09,148.57,99.9
3.16,12.0,3.35,40.14,148.89,99.9
3.17,12.0,3.42,41.09,149.22,99.9
3.17,12.0,3.50,41.95,149.55,99.9
3.18,12.0,3.56,42.72,149.89,99.9
3.19,12.0,3.62,43.41,150.24,99.9
3.19,12.0,3.67,44.03,150.59,99.9
3.20,12.0,3.72,44.59,150.95,99.9
3.21,12.0,3.76,45.10,151.31,99.9
3.22,12.0,3.80,45.55,151.68,99.9
3.23,12.0,3.83,45.96,152.04,99.9
3.24,12.0,3.86,46.33,152.41,99.9
3.24,12.0,3.89,46.66,152.79,99.9
3.25,12.0,3.91,46.96,153.16,99.9
3.27,12.0,3.94,47.23,153.54,99.9
3.27,12.0,3.96,47.47,153.92,99.9
3.28,12.0,3.97,47.68,154.30,99.9
3.29,12.0,3.99,47.88,154.69,99.9
3.31,12.0,4.00,48.06,155.07,99.9
3.32,12.0,4.02,48.21,155.46,99.9
3.33,12.0,4.03,48.36,155.84,99.9
3.34,12.0,4.04,48.48,156.23,99.9
3.35,12.0,4.05,48.60,156.62,99.9
3.36,12.0,4.06,48.70,157.01,99.9
3.37,12.0,4.07,48.80,157.40,99.9
3.38,12.0,4.07,48.88,157.79,99.9
3.38,12.0,4.08,48.96,158.18,99.9
3.39,12.0,4.09,49.03,158.57,99.9
3.40,12.0,4.09,49.09,158.97,99.9
3.41,12.0,4.10,49.14,159.36,99.9
3.42,12.0,4.10,49.19,159.75,99.9
3.42,12.0,4.10,49.24,160.15,99.9
3.43,12.0,4.11,49.28,160.54,99.9
3.44,12.0,4.11,49.31,160.94,99.9
3.44,12.0,4.11,49.35,161.33,99.9
3.45,12.0,4.11,49.38,161.73,99.9
3.46,12.0,4.12,49.40,162.12,99.9
3.46,12.0,4.12,49.43,162.52,99.9
3.47,12.0,4.12,49.45,162.91,99.9
3.48,12.0,4.12,49.47,163.31,99.9
3.49,12.0,4.12,49.48,163.70,99.9
3.49,12.0,4.12,49.50,164.10,99.9
3.50,12.0,4.13,49.51,164.50,99.9
3.51,12.0,4.13,49.53,164.89,99.9
3.52,12.0,4.13,49.54,165.29,99.9
3.53,12.0,4.13,49.55,165.68,99.9
3.53,12.0,4.13,49.56,166.08,99.9
3.54,12.0,4.13,49.56,166.48,99.9
3.55,12.0,4.13,49.57,166.87,99.9
3.56,12.0,4.13,49.58,167.27,99.9
3.57,12.0,4.13,49.58,167.67,99.9
3.58,12.0,4.13,49.59,168.06,99.9
3.59,12.0,4.13,49.60,168.46,99.9
3.61,12.0,4.13,49.60,168.86,99.9
3.62,12.0,4.13,49.60,169.25,99.9
3.63,12.0,4.13,49.61,169.65,99.9
3.63,12.0,4.13,49.61,170.05,99.9
3.64,12.0,4.13,49.61,170.45,99.9
3.65,12.0,4.13,49.62,170.84,99.9
3.66,12.0,4.13,49.62,171.24,99.9
3.67,12.0,4.14,49.62,171.64,99.9
3.68,12.0,4.14,49.62,172.03,99.9
3.69,12.0,4.14,49.62,172.43,99.9
3.69,12.0,4.14,49.63,172.83,99.9
3.70,12.0,4.14,49.63,173.22,99.9
3.71,12.0,4.14,49.63,173.62,99.9
3.72,12.0,4.14,49.63,174.02,99.9
3.72,12.0,4.14,49.63,174.42,99.9
3.73,12.0,4.14,49.63,174.81,99.9
3.74,12.0,4.14,49.63,175.21,99.9
3.74,12.0,4.14,49.63,175.61,99.9
3.75,12.0,4.14,49.63,176.00,99.9
3.76,12.0,4.14,49.63,176.40,99.9
3.77,12.0,4.14,49.63,176.80,99.9
3.77,12.0,4.14,49.63,177.19,99.9
3.78,12.0,4.14,49.64,177.59,99.9
3.79,12.0,4.14,49.64,177.99,99.9
3.80,12.0,4.14,49.64,178.39,99.9
3.81,12.0,4.14,49.64,178.78,99.9
3.82,12.0,4.14,49.64,179.18,99.9
3.83,12.0,4.14,49.64,179.58,99.9
3.84,12.0,4.14,49.64,179.97,99.9
3.85,12.0,4.14,49.64,180.37,99.9
3.86,12.0,4.14,49.64,180.77,99.9
3.87,12.0,4.14,49.64,181.17,99.9
3.88,12.0,4.14,49.64,181.56,99.9
3.89,12.0,4.14,49.64,181.96,99.9
3.90,12.0,4.14,49.64,182.36,99.9
3.91,12.0,4.14,49.64,182.75,99.9
3.92,12.0,4.14,49.64,183.15,99.9
3.92,12.0,4.14,49.64,183.55,99.9
3.94,12.0,4.14,49.64,183.95,99.9
3.94,12.0,4.14,49.64,184.34,99.9
3.95,12.0,4.14,49.64,184.74,99.9
3.96,12.0,4.14,49.64,185.14,99.9
3.97,12.0,4.14,49.64,185.53,99.9
3.98,12.0,4.14,49.64,185.93,99.9
3.98,12.0,4.14,49.64,186.33,99.9
3.99,12.0,4.14,49.64,186.73,99.9
3.99,12.0,4.14,49.64,187.12,99.9
4.00,12.0,4.14,49.64,187.52,99.9
4.01,12.0,4.14,49.64,187.92,99.9
4.02,12.0,4.14,49.64,188.31,99.9
4.02,12.0,4.14,49.64,188.71,99.9
4.03,12.0,4.14,49.64,189.11,99.9
4.04,12.0,4.14,49.64,189.50,99.9
4.05,12.0,4.14,49.64,189.90,99.9
4.05,12.0,4.14,49.64,190.30,99.9
4.06,12.0,4.14,49.64,190.70,99.9
4.07,12.0,4.14,49.64,191.09,99.9
4.08,12.0,4.14,49.64,191.49,99.9
4.09,12.0,4.14,49.64,191.89,99.9
4.10,12.0,4.14,49.64,192.28,99.9
4.11,12.0,4.14,49.64,192.68,99.9
4.12,12.0,4.14,49.64,193.08,99.9
4.13,12.0,4.14,49.64,193.48,99.9
4.14,12.0,4.14,49.64,193.87,99.9
4.15,12.0,4.14,49.64,194.27,99.9
4.16,12.0,4.14,49.64,194.67,99.9
4.17,12.0,4.14,49.64,195.06,99.9
4.18,12.0,4.14,49.64,195.46,99.9
4.19,12.0,4.14,49.64,195.86,99.9
4.20,12.0,4.14,49.64,196.26,99.9
4.21,12.0,4.14,49.64,196.65,99.9
4.22,12.0,4.14,49.64,197.05,99.9
4.22,12.0,4.14,49.64,197.45,99.9
4.23,12.0,4.14,49.64,197.84,99.9
4.24,12.0,4.14,49.64,198.24,99.9
4.25,12.0,4.14,49.64,198.64,99.9
4.25,12.0,4.14,49.64,199.04,99.9
4.26,12.0,4.14,49.64,199.43,99.9
4.27,12.0,4.14,49.64,199.83,99.9
4.28,12.0,4.14,49.64,200.23,99.9
4.28,12.0,4.14,49.64,200.62,99.9
4.29,12.0,4.14,49.64,201.02,99.9
4.30,12.0,4.14,49.64,201.42,99.9
4.30,12.0,4.14,49.64,201.82,99.9
4.31,12.0,4.14,49.64,202.21,99.9
4.32,12.0,4.14,49.64,202.61,99.9
4.32,12.0,4.14,49.64,203.01,99.9
4.33,12.0,4.14,49.64,203.40,99.9
4.34,12.0,4.14,49.64,203.80,99.9
4.35,12.0,4.14,49.64,204.20,99.9
4.36,12.0,4.14,49.64,204.60,99.9
4.37,12.0,4.14,49.64,204.99,99.9
4.38,12.0,4.14,49.64,205.39,99.9
4.39,12.0,4.14,49.64,205.79,99.9
4.40,12.0,4.14,49.64,206.18,99.9
4.41,12.0,4.14,49.64,206.58,99.9
4.42,12.0,4.14,49.64,206.98,99.9
4.43,12.0,4.14,49.64,207.37,99.9
4.44,12.0,4.14,49.64,207.77,99.9
4.45,12.0,4.14,49.64,208.17,99.9
4.46,12.0,4.14,49.64,208.57,99.9
4.47,12.0,4.14,49.64,208.96,99.9
4.48,12.0,4.14,49.64,209.36,99.9
4.48,12.0,4.14,49.64,209.76,99.9
4.49,12.0,4.14,49.64,210.15,99.9
4.50,12.0,4.14,49.64,210.55,99.9
4.51,12.0,4.14,49.64,210.95,99.9
4.52,12.0,4.14,49.64,211.35,99.9
4.52,12.0,4.14,49.64,211.74,99.9
4.53,12.0,4.14,49.64,212.14,99.9
4.54,12.0,4.14,49.64,212.54,99.9
4.55,12.0,4.14,49.64,212.93,99.9
4.55,12.0,4.14,49.64,213.33,99.9
4.56,12.0,4.14,49.64,213.73,99.9
4.57,12.0,4.14,49.64,214.13,99.9
4.58,12.0,4.14,49.64,214.52,99.9
4.58,12.0,4.14,49.64,214.92,99.9
4.59,12.0,4.14,49.64,215.32,99.9
4.60,12.0,4.14,49.64,215.71,99.9
4.61,12.0,4.14,49.64,216.11,99.9
4.61,12.0,4.14,49.64,216.51,99.9
4.62,12.0,4.14,49.64,216.91,99.9
4.63,12.0,4.14,49.64,217.30,99.9
4.64,12.0,4.14,49.64,217.70,99.9
4.65,12.0,4.14,49.64,218.10,99.9
4.65,12.0,4.14,49.64,218.49,99.9
4.66,12.0,4.14,49.64,218.89,99.9
4.68,12.0,4.14,49.64,219.29,99.9
4.68,12.0,0.67,8.01,219.35,99.9
4.69,12.0,0.67,8.01,219.42,99.9
4.70,12.0,0.67,8.01,219.48,99.9
4.72,12.0,0.67,8.01,219.54,99.9
4.73,12.0,0.67,8.01,219.61,99.9
4.74,12.0,0.67,8.01,219.67,99.9
4.75,12.0,0.67,8.01,219.74,99.9
4.76,12.0,0.67,8.01,219.80,99.9
4.76,12.0,0.67,8.01,219.86,99.9
4.77,12.0,0.67,8.01,219.93,99.9
4.78,12.0,0.67,8.01,219.99,99.9
4.79,12.0,0.67,8.01,220.06,99.9
4.80,12.0,0.67,8.01,220.12,99.9
4.81,12.0,2.09,25.13,220.32,99.9
4.81,12.0,2.30,27.58,220.54,99.9
4.82,12.0,2.48,29.79,220.78,99.9
4.83,12.0,2.65,31.77,221.04,99.9
4.84,12.0,2.80,33.56,221.30,99.9
4.85,12.0,2.93,35.17,221.59,99.9
4.85,12.0,3.05,36.62,221.88,99.9
4.86,12.0,3.16,37.92,222.18,99.9
4.86,12.0,3.26,39.09,222.49,99.9
4.87,12.0,3.35,40.14,222.82,99.9
4.88,12.0,3.42,41.09,223.14,99.9
4.89,12.0,3.50,41.95,223.48,99.9
4.89,12.0,3.56,42.72,223.82,99.9
4.90,12.0,3.62,43.41,224.17,99.9
4.91,12.0,3.67,44.03,224.52,99.9
4.92,12.0,3.72,44.59,224.88,99.9
4.93,12.0,3.76,45.10,225.24,99.9
4.94,12.0,3.80,45.55,225.60,99.9
4.94,12.0,3.83,45.96,225.97,99.9
4.95,12.0,3.86,46.33,226.34,99.9
4.96,12.0,3.89,46.66,226.71,99.9
4.97,12.0,3.91,46.96,227.09,99.9
4.98,12.0,3.94,47.23,227.47,99.9
4.99,12.0,3.96,47.47,227.85,99.9
5.00,12.0,3.97,47.68,228.23,99.9
5.01,12.0,3.99,47.88,228.61,99.9
5.02,12.0,4.00,48.06,229.00,99.9
5.03,12.0,4.02,48.21,229.38,99.9
5.04,12.0,4.03,48.36,229.77,99.9
5.05,12.0,4.04,48.48,230.16,99.9
5.06,12.0,4.05,48.60,230.55,99.9
5.07,12.0,4.06,48.70,230.94,99.9
5.08,12.0,4.07,48.80,231.33,99.9
5.09,12.0,4.07,48.88,231.72,99.9
5.10,12.0,4.08,48.96,232.11,99.9
